Aillières-Beauvoir,72,72002
Alençon,61,61001
Ambrières-les-Vallées,53,53003
Ancinnes,72,72005
Argentan,61,61006
Assé-le-Boisne,72,72011
Athis-Val de Rouvre,61,61007
Aunay-les-Bois,61,61013
Avrilly,61,61021
Bagnoles de l'Orne Normandie,61,61483
Bais,53,53016
Barenton,50,50029
Beauvain,61,61035
Boischampré,61,61375
Boitron,61,61051
Boulay-les-Ifs,53,53038
Bourg-le-Roi,72,72043
Bursard,61,61068
Carrouges,61,61074
Ceaucé,61,61075
Chahains,61,61080
Champfrémont,53,53052
Champsecret,61,61091
Chenay,72,72076
Colombiers,61,61111
Coulonges-sur-Sarthe,61,61126
Couptrain,53,53080
Crissé,72,72109
Cuissai,61,61141
Domfront en Poiraie,61,61145
Dompierre,61,61146
Douillet,72,72121
Écouves,61,61341
Essay,61,61156
Évron,53,53097
Francheville,61,61176
Fresnay-sur-Sarthe,72,72138
Gandelain,61,61182
Ger,50,50200
Gesvres,53,53106
Hauterive,61,61202
Héloup,61,61203
Javron-les-Chapelles,53,53121
Joué-du-Bois,61,61209
Juvigny Val d'Andaine,61,61211
La Bellière,61,61039
La Chapelle-près-Sées,61,61098
La Chaux,61,61104
La Coulonche,61,61124
La Ferrière-aux-Étangs,61,61163
La Ferrière-Béchet,61,61164
La Ferrière-Bochard,61,61165
La Ferté-Macé,61,61168
La Lande-de-Goult,61,61216
La Motte-Fouquet,61,61295
La Pallu,53,53173
La Roche-Mabile,61,61350
Lalacelle,61,61213
Laleu,61,61215
Larré,61,61224
Lassay-les-Châteaux,53,53127
Le Bouillon,61,61056
Le Cercueil,61,61076
Le Champ-de-la-Pierre,61,61085
Le Grez,72,72145
Le Housseau-Brétignolles,53,53118
Le Mêle-sur-Sarthe,61,61258
Le Ménil-Broût,61,61261
Le Ménil-Scelleur,61,61271
Les Aulneaux,72,72015
Les Monts d'Andaine,61,61463
Les Ventes-de-Bourse,61,61499
Lignières-Orgères,53,53133
Livet-en-Saosnois,72,72164
Lonlay-l'Abbaye,61,61232
L'Orée-d'Écouves,61,61228
Louzes,72,72171
Magny-le-Désert,61,61243
Mamers,72,72180
Mantilly,61,61248
Marchemaisons,61,61251
Méhoudin,61,61257
Ménil-Erreux,61,61263
Mieuxcé,61,61279
Mont-Saint-Jean,72,72211
Mortain-Bocage,50,50359
Mortrée,61,61294
Moulins-le-Carbonnel,72,72212
Neauphe-sous-Essai,61,61301
Neufchâtel-en-Saosnois,72,72215
Neuilly-le-Bisson,61,61304
Neuilly-le-Vendin,53,53164
Pacé,61,61321
Passais Villages,61,61324
Perrou,61,61326
Pezé-le-Robert,72,72234
Pré-en-Pail-Saint-Samson,53,53185
Rânes,61,61344
Ravigny,53,53187
Rennes-en-Grenouilles,53,53189
Rives d'Andaine,61,61096
Rouessé-Vassé,72,72255
Rouperroux,61,61357
Saint-Aubin-d'Appenai,61,61365
Saint-Bômer-les-Forges,61,61369
Saint-Brice,61,61370
Saint-Calais-du-Désert,53,53204
Saint-Céneri-le-Gérei,61,61372
Saint-Cyr-du-Bailleul,50,50462
Saint-Cyr-en-Pail,53,53208
Saint-Denis-sur-Sarthon,61,61382
Sainte-Marguerite-de-Carrouges,61,61419
Sainte-Marie-du-Bois,53,53235
Sainte-Marie-la-Robert,61,61420
Saint-Fraimbault,61,61387
Saint-Georges-de-Rouelley,50,50474
Saint-Georges-le-Gaultier,72,72282
Saint-Gervais-du-Perron,61,61400
Saint-Gilles-des-Marais,61,61401
Saint-Julien-sur-Sarthe,61,61412
Saint-Léger-sur-Sarthe,61,61415
Saint-Léonard-des-Bois,72,72294
Saint-Longis,72,72295
Saint-Mars-d'Égrenne,61,61421
Saint-Martin-des-Landes,61,61424
Saint-Martin-l'Aiguillon,61,61427
Saint-Nicolas-des-Bois,61,61433
Saint-Ouen-le-Brisoult,61,61439
Saint-Patrice-du-Désert,61,61442
Saint-Paul-le-Gaultier,72,72309
Saint-Pierre-des-Nids,53,53246
Saint-Pierre-sur-Orthe,53,53249
Saint-Rémy-de-Sillé,72,72315
Saint-Rémy-du-Val,72,72317
Saint-Roch-sur-Égrenne,61,61452
Saint-Sauveur-de-Carrouges,61,61453
Sées,61,61464
Sillé-le-Guillaume,72,72334
Sougé-le-Ganelon,72,72337
Tanville,61,61480
Tessé-Froulay,61,61482
Thubœuf,53,53263
Torchamp,61,61487
Villaines-la-Carelle,72,72374
Villaines-la-Juhel,53,53271
Villeneuve-en-Perseigne,72,72137
Villepail,53,53272
Vimarcé,53,53274
Vivoin,72,72380
