"type";"taxon";"nom_fichier";"credit"
"taxon";"Hirondelle rustique";"01.jpg";"F. Jiguet (INPN)"
"taxon";"Hirondelle de fenêtre";"02.jpg";"O. Roquinarc'h (INPN)"
"taxon";"Machaon";"03.jpg";"Morvan Debroize"
"taxon";"Crapaud";"04.jpg";"Morvan Debroize"
"taxon";"Morio";"05.jpg";"A. Horellou (INPN)"
"taxon";"Morio";"05.jpg";"Noé Conservation"
"taxon";"Damier du frêne";"06.jpg";"Noé Conservation"
"taxon";"Bacchante";"07.jpg";"Noé Conservation"
"taxon";"Sonneur à ventre jaune";"08.jpg";"Noé Conservation"
"taxon";"Carabe splendide";"09.jpg";"Noé Conservation"
"taxon";"Carabe à reflets cuivrés";"10.jpg";"Noé Conservation"
"taxon";"Grand calosome";"11.jpg";"Noé Conservation"
"taxon";"Damier du chèvrefeuille";"12.jpg";"Noé Conservation"
"taxon";"Carabe doré";"13.jpg";"Noé Conservation"
"taxon";"Polypore du bouleau";"14.jpg";"Noé Conservation"
"taxon";"Langue de bœuf";"15.jpg";"Noé Conservation"
"taxon";"Polypore marginé";"16.jpg";"Noé Conservation"
"taxon";"Amadouvier";"17.jpg";"Noé Conservation"
"taxon";"Petit-gris";"18.jpg";"Noé Conservation"
"taxon";"Mélibée";"19.jpg";"Noé Conservation"
"taxon";"Tabac d'Espagne";"20.jpg";"Noé Conservation"
"taxon";"Robert-le-Diable";"21.jpg";"Noé Conservation"
"taxon";"Petit Mars changeant";"22.jpg";"Noé Conservation"
"taxon";"Grand Mars changeant";"23.jpg";"Noé Conservation"
"taxon";"Aurore";"24.jpg";"Noé Conservation"
"taxon";"Orvet fragile";"25.jpg";"Noé Conservation"
"taxon";"Salamandre tachetée";"26.jpg";"Noé Conservation"
"taxon";"Escargot de Bourgogne";"27.jpg";"Noé Conservation"
"taxon";"Soucoupe commune";"28.jpg";"Noé Conservation"
"taxon";"Aromie musquée";"29.jpg";"Noé Conservation"
"taxon";"Grand capricorne";"30.jpg";"Noé Conservation"
"taxon";"Petit capricorne";"31.jpg";"Noé Conservation"
"taxon";"Lepture tacheté";"32.jpg";"Noé Conservation"
"taxon";"Bulime zébré";"33.jpg";"Noé Conservation"
"taxon";"Scarabée rhinocéros européen";"34.jpg";"Noé Conservation"
"taxon";"Hanneton des pins";"35.jpg";"Noé Conservation"
"taxon";"Faux-Hydne gélatineux";"36.jpg";"Noé Conservation"
"taxon";"Auriculaire mésentérique";"37.jpg";"Noé Conservation"
"taxon";"Polypore soufré";"38.jpg";"Noé Conservation"
"taxon";"Pézize vert-de-gris";"39.jpg";"Noé Conservation"
"taxon";"Daldanie concentrique";"40.jpg";"Noé Conservation"
"taxon";"Xylaire du bois";"41.jpg";"Noé Conservation"
"taxon";"Strangalie à forme de capricorne";"42.jpg";"Noé Conservation"
"taxon";"Clyte bélier";"43.jpg";"Noé Conservation"
"taxon";"Elégante striée";"44.jpg";"Noé Conservation"
"taxon";"Maillot cendré";"45.jpg";"Noé Conservation"
"taxon";"Lamie tisserand";"46.jpg";"Noé Conservation"
"taxon";"Hêtre commun";"47.jpg";"Noé Conservation"
"taxon";"Saules";"48.jpg";"Noé Conservation"
"taxon";"Bouleaux";"49.jpg";"Noé Conservation"
"taxon";"Chêne";"50.jpg";"Noé Conservation"
"taxon";"Les fruits";"51.jpg";"Noé Conservation"
"taxon";"Les conifères et leurs aiguilles";"52.jpg";"Noé Conservation"
"taxon";"Les pins et leurs cônes";"53.jpg";"Noé Conservation"
"taxon";"Le bois mort et ses décomposeurs";"54.jpg";"Noé Conservation"
"taxon";"Les champignons";"55.jpg";"Noé Conservation"
"taxon";"Champignons d'arbres";"56.jpg";"Noé Conservation"
"taxon";"Les mousses terrestres";"57.jpg";"Noé Conservation"
"taxon";"Les fougères";"58.jpg";"Noé Conservation"
"taxon";"Les spores des mousses et des fougères";"59.jpg";"Noé Conservation"
"taxon";"Clairières et lisières";"60.jpg";"Noé Conservation"
"taxon";"Chardonneret élégant";"61.jpg";"Sylvain Montagner"
